"id","labels"
1,33
2,634
3,1175
4,32
5,468
6,457
7,1176
8,863
9,634
10,560
11,790
12,731
13,651
14,905
15,47
16,221
17,370
18,364
19,1127
20,1067
21,390
22,1024
23,480
24,378
25,203
26,868
27,796
28,254
29,512
30,225
31,1097
32,337
33,655
34,1010
35,1197
36,723
37,910
38,157
39,11
40,622
41,378
42,376
43,514
44,327
45,1111
46,119
47,218
48,992
49,17
50,939
51,743
52,431
53,547
54,181
55,232
56,1173
57,402
58,557
59,290
60,688
61,210
62,593
63,18
64,469
65,915
66,378
67,756
68,1160
69,649
70,57
71,832
72,1047
73,1066
74,32
75,681
76,97
77,1162
78,468
79,521
80,969
81,372
82,451
83,881
84,858
85,397
86,1095
87,5
88,1188
89,317
90,891
91,575
92,520
93,685
94,13
95,766
96,1154
97,1009
98,1178
99,1007
100,756
101,1174
102,672
103,34
104,756
105,651
106,415
107,743
108,685
109,71
110,200
111,606
112,809
113,423
114,759
115,887
116,123
117,803
118,579
119,539
120,215
121,562
122,88
123,625
124,863
125,486
126,334
127,702
128,1212
129,1212
130,314
131,591
132,1162
133,1184
134,563
135,475
136,386
137,531
138,845
139,694
140,560
141,819
142,110
143,328
144,171
145,255
146,1115
147,788
148,1082
149,944
150,739
151,364
152,336
153,433
154,726
155,250
156,224
157,686
158,1130
159,393
160,367
161,109
162,688
163,735
164,515
165,465
166,393
167,499
168,358
169,151
170,1090
171,80
172,625
173,989
174,1193
175,836
176,299
177,856
178,1178
179,309
180,841
181,408
182,153
183,255
184,388
185,1038
186,845
187,814
188,1057
189,557
190,939
191,625
192,925
193,1084
194,1184
195,966
196,601
197,172
198,779
199,955
200,995
201,72
202,668
203,1131
204,72
205,55
206,1197
207,606
208,1053
209,977
210,667
211,1211
212,352
213,121
214,1177
215,830
216,257
217,352
218,401
219,283
220,198
221,407
222,1190
223,89
224,897
225,1195
226,745
227,407
228,898
229,206
230,858
231,287
232,528
233,991
234,242
235,1147
236,74
237,951
238,752
239,152
240,962
241,741
242,1042
243,719
244,589
245,335
246,872
247,821
248,282
249,338
250,1078
251,544
252,648
253,514
254,197
255,396
256,289
257,1094
258,11
259,215
260,871
261,1083
262,1032
263,812
264,883
265,1162
266,1037
267,387
268,270
269,1194
270,971
271,531
272,894
273,452
274,396
275,499
276,1167
277,1107
278,173
279,115
280,123
281,440
282,423
283,452
284,892
285,570
286,511
287,415
288,691
289,280
290,42
291,1182
292,373
293,355
294,1116
295,695
296,540
297,1081
298,563
299,323
300,406
301,365
302,759
303,377
304,561
305,1022
306,1039
307,485
308,507
309,831
310,140
311,1121
312,1062
313,947
314,717
315,617
316,319
317,605
318,418
319,353
320,267
321,928
322,432
323,797
324,255
325,208
326,275
327,562
328,486
329,284
330,216
331,107
332,180
333,786
334,798
335,868
336,487
337,741
338,328
339,147
340,698
341,131
342,9
343,52
344,20
345,550
346,451
347,602
348,1167
349,931
350,1077
351,814
352,391
353,491
354,1063
355,710
356,61
357,492
358,1167
359,1186
360,650
361,654
362,1062
363,404
364,377
365,339
366,924
367,337
368,943
369,373
370,478
371,409
372,870
373,374
374,51
375,878
376,193
377,220
378,739
379,887
380,396
381,903
382,198
383,605
384,230
385,37
386,632
387,212
388,197
389,355
390,404
391,533
392,653
393,123
394,99
395,990
396,741
397,378
398,510
399,973
400,899
401,164
402,135
403,254
404,1193
405,1027
406,597
407,169
408,748
409,738
410,509
411,1212
412,1160
413,109
414,886
415,80
416,296
417,423
418,538
419,512
420,687
421,208
422,637
423,510
424,562
425,625
426,276
427,1213
428,538
429,1089
430,1083
431,754
432,1108
433,230
434,308
435,1015
436,574
437,527
438,834
439,183
440,470
441,406
442,46
443,848
444,506
445,146
446,25
447,619
448,878
449,404
450,308
451,751
452,948
453,1057
454,604
455,1062
456,314
457,352
458,1167
459,776
460,310
461,1098
462,119
463,345
464,389
465,746
466,61
467,1156
468,368
469,428
470,688
471,521
472,499
473,1147
474,275
475,8
476,782
477,9
478,533
479,981
480,721
481,1136
482,361
483,918
484,525
485,109
486,5
487,1191
488,88
489,717
490,189
491,1017
492,1177
493,1025
494,1085
495,579
496,1212
497,706
498,1034
499,1037
500,473
501,295
502,63
503,996
504,1177
505,337
506,42
507,1155
508,1169
509,325
510,867
511,885
512,625
513,611
514,831
515,528
516,1177
517,1178
518,463
519,1209
520,205
521,338
522,123
523,1031
524,449
525,755
526,199
527,44
528,407
529,1130
530,581
531,621
532,378
533,793
534,891
535,450
536,891
537,162
538,467
539,1167
540,206
541,305
542,212
543,606
544,224
545,1033
546,370
547,327
548,1173
549,301
550,689
551,902
552,946
553,605
554,705
555,287
556,684
557,702
558,940
559,493
560,345
561,688
562,435
563,870
564,808
565,1162
566,1141
567,428
568,996
569,404
570,366
571,525
572,1104
573,534
574,670
575,31
576,135
577,14
578,93
579,577
580,994
581,1193
582,423
583,302
584,1188
585,946
586,156
587,865
588,548
589,601
590,512
591,70
592,62
593,614
594,507
595,1167
596,42
597,1162
598,538
599,909
600,1177
601,758
602,930
603,467
604,451
605,790
606,317
607,338
608,883
609,1007
610,557
611,1167
612,108
613,1193
614,1188
615,86
616,616
617,724
618,818
619,372
620,230
621,1199
622,240
623,1091
624,94
625,1081
626,309
627,1067
628,1005
629,497
630,740
631,780
632,396
633,1204
634,666
635,1204
636,62
637,117
638,1130
639,194
640,392
641,516
642,877
643,674
644,707
645,5
646,255
647,209
648,341
649,1022
650,514
651,24
652,1061
653,702
654,625
655,306
656,311
657,573
658,309
659,218
660,422
661,269
662,1064
663,55
664,276
665,577
666,674
667,684
668,866
669,1006
670,844
671,538
672,879
673,844
674,351
675,139
676,841
677,229
678,878
679,85
680,473
681,48
682,399
683,1116
684,951
685,862
686,488
687,534
688,1212
689,568
690,465
691,711
692,324
693,1102
694,712
695,563
696,391
697,528
698,507
699,127
700,78
701,965
702,244
703,1212
704,1078
705,953
706,621
707,509
708,352
709,1104
710,240
711,259
712,1031
713,174
714,168
715,961
716,222
717,1037
718,917
719,35
720,504
721,406
722,625
723,155
724,652
725,219
726,685
727,638
728,467
729,397
730,662
731,563
732,1097
733,1193
734,64
735,386
736,43
737,661
738,891
739,547
740,991
741,842
742,552
743,973
744,285
745,362
746,867
747,676
748,625
749,615
750,353
751,881
752,1101
753,125
754,180
755,644
756,66
757,1170
758,770
759,249
760,429
761,571
762,1106
763,969
764,35
765,97
766,145
767,586
768,100
769,130
770,836
771,567
772,842
773,489
774,604
775,186
776,1021
777,179
778,1035
779,145
780,728
781,279
782,882
783,636
784,197
785,476
786,651
787,513
788,304
789,510
790,434
791,319
792,652
793,65
794,654
795,1162
796,481
797,426
798,432
799,752
800,1155
801,708
802,1212
803,712
804,1106
805,917
806,390
807,129
808,183
809,655
810,9
811,516
812,1091
813,1212
814,422
815,517
816,393
817,832
818,215
819,991
820,740
821,422
822,1212
823,733
824,480
825,535
826,1201
827,204
828,1066
829,455
830,792
831,60
832,320
833,433
834,320
835,1075
836,941
837,735
838,135
839,978
840,600
841,995
842,1014
843,207
844,862
845,100
846,181
847,464
848,1167
849,407
850,65
851,708
852,893
853,171
854,213
855,545
856,757
857,748
858,354
859,1107
860,79
861,735
862,576
863,308
864,867
865,849
866,1162
867,246
868,367
869,525
870,925
871,711
872,1112
873,990
874,225
875,277
876,1200
877,361
878,910
879,913
880,64
881,662
882,610
883,17
884,237
885,303
886,780
887,932
888,356
889,338
890,816
891,1017
892,808
893,561
894,238
895,1162
896,538
897,611
898,1162
899,961
900,174
901,180
902,277
903,1
904,59
905,579
906,891
907,974
908,867
909,750
910,479
911,978
912,252
913,740
914,1027
915,751
916,144
917,730
918,162
919,531
920,510
921,50
922,974
923,190
924,120
925,21
926,541
927,1110
928,1035
929,162
930,589
931,735
932,429
933,1146
934,156
935,589
936,1064
937,313
938,840
939,676
940,538
941,418
942,717
943,598
944,600
945,853
946,848
947,1141
948,1146
949,1014
950,1121
951,285
952,1138
953,542
954,550
955,991
956,688
957,1142
958,501
959,302
960,799
961,739
962,548
963,118
964,412
965,334
966,821
967,826
968,1172
969,1102
970,688
971,108
972,379
973,130
974,1053
975,744
976,707
977,303
978,406
979,708
980,316
981,892
982,254
983,467
984,1138
985,875
986,261
987,758
988,1102
989,314
990,1037
991,591
992,327
993,982
994,315
995,954
996,27
997,455
998,270
999,592
1000,725
1001,882
1002,821
1003,766
1004,625
1005,154
1006,235
1007,425
1008,785
1009,625
1010,34
1011,97
1012,625
1013,206
1014,990
1015,220
1016,115
1017,365
1018,356
1019,549
1020,192
1021,1184
1022,467
1023,544
1024,417
1025,77
1026,507
1027,609
1028,699
1029,144
1030,50
1031,849
1032,870
1033,444
1034,19
1035,1015
1036,878
1037,167
1038,929
1039,496
1040,200
1041,169
1042,566
1043,848
1044,116
